b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = -177.9217054142974, l = -115.83405404440055, h = -6380245.129366966
b = 89.75662515436721, l = 134.16942679195668, h = -6345962.957552834
b = 178.8880942789377, l = 177.37685056967615, h = -6379769.236581774
b = 174.74146676095785, l = -61.200585752618096, h = -6381047.670005894
b = -177.8490380680659, l = -116.15866380866002, h = -6380244.851043025
b = 89.75943160484714, l = 136.64174018177232, h = -6346218.745153528
b = 178.96557084886726, l = 177.24807393439164, h = -6379777.36757853
b = 174.6660214957216, l = -61.27294145002575, h = -6381045.964199762
b = -177.7746499159633, l = -116.48437487467841, h = -6380244.736469918
b = 89.76198538843134, l = 139.20142851973844, h = -6346434.325433788
b = 179.03794374183786, l = 177.1196684644214, h = -6379785.634954174
b = 174.58945094491753, l = -61.34628815433693, h = -6381044.34936781
b = -177.69863906881483, l = -116.81105781108354, h = -6380244.797153647
b = 89.76426328107502, l = 141.8426257895137, h = -6346610.418395177
b = 179.1054841399769, l = 176.9919895265361, h = -6379794.03009966
b = 174.51167793658988, l = -61.42036815833894, h = -6381042.853298103
b = -177.62100609994314, l = -117.13932207451775, h = -6380245.038682044
b = 89.76622032146884, l = 144.55498676249783, h = -6346744.889682607
b = 179.16849689662683, l = 176.86466085773986, h = -6379802.527010186
b = 174.43248828795575, l = -61.49527716184195, h = -6381041.48254295
b = -177.54167724282243, l = -117.46841211649433, h = -6380245.47792272
b = 89.76784076981525, l = 147.32919314326278, h = -6346838.236474849
b = 179.227285002833, l = 176.73803573547872, h = -6379811.120517987
b = 174.35213254000354, l = -61.57131683135727, h = -6381040.226237769
b = -177.46081552222094, l = -117.79881723744367, h = -6380246.1019493025
b = -89.83087784049387, l = 150.15541054286834, h = -6327636.200342258
b = 90.31563290517266, l = 70.87536488200521, h = -6454579.130879092
b = -174.92997216132014, l = 155.89792554932367, h = -6380893.679996979
b = -179.6734761190629, l = -161.3153414251444, h = -6380058.348956968
b = -152.19519089974744, l = 87.61058507172909, h = -6385389.954863269
b = 90.28167157791441, l = 69.4516884777615, h = -6459563.139763493
b = -174.79318483681453, l = 155.77998014838488, h = -6380900.305818879
b = -179.66265062588405, l = -161.02246077396583, h = -6380053.8706048075
b = 179.83299307114885, l = -87.086155104157, h = -6379833.681981495
b = -96.22837496000136, l = 78.05494196268336, h = -6411183.987194126
b = -112.13462019353378, l = -43.07909947512079, h = -6400388.501086051
b = 179.80231000028536, l = -162.6426658691933, h = -6378798.2372638155
b = 179.42559846555332, l = 176.23712422303575, h = -6379846.141120547
b = 174.01719095037373, l = -61.883699111875885, h = -6381036.579929557
b = -177.1210472448646, l = -119.13061912727753, h = -6380250.657016782
b = -89.82448964366063, l = 161.69820165845178, h = -6330294.666466764
b = 90.1954278898025, l = 64.67406722444491, h = -6479323.301282092
b = -174.3633312108181, l = 155.42480915337123, h = -6380922.988169196
b = -179.6283541431862, l = -160.1413159286649, h = -6380040.550243653
b = 179.8091538934285, l = -88.10876059288117, h = -6379859.244431487
b = -95.95050334019089, l = 79.2041826409571, h = -6411503.542122961
b = -114.15998967610096, l = -43.61195195945426, h = -6399599.489283996
b = -91.91165867181562, l = 175.89196968705537, h = -6419224.697531209
b = 90.15012848163036, l = 61.02432635122474, h = -6498077.636368797
b = -174.0596613269223, l = 155.18690779287687, h = -6380940.69745915
b = 179.94743113381531, l = -159.55121636861864, h = -6380030.741996627
b = 179.57604134389734, l = 175.74459818844832, h = -6379881.823395539
b = 173.6598365731726, l = -62.21141494866558, h = -6381035.4496143125
b = -176.75582352384143, l = -120.47855310651784, h = -6380258.756930027
b = 179.78395086653535, l = -89.1089899302389, h = -6379885.177320599
b = -95.68205404129377, l = 80.38988115204891, h = -6411831.502871595
b = -116.30272281482192, l = -44.13143949758729, h = -6398764.842801759
b = -92.02055011667207, l = 178.54067998624234, h = -6418766.734412003
b = 90.09886074616156, l = 54.78803659875991, h = -6538492.440409122
b = -173.57725126784672, l = 154.82805261783807, h = -6380971.64856092
b = 179.9897771685101, l = -158.6629322934544, h = -6380017.50816368
b = 179.66517787083515, l = 175.38068561906425, h = -6379908.791973764
b = 173.3759879404231, l = -62.46746360830434, h = -6381036.552125806
b = -176.46606739585602, l = -121.49922808853698, h = -6380267.3832419
b = 179.75730412570107, l = -90.08752272554534, h = -6379911.471031694
b = -95.42292891069901, l = 81.61443719823137, h = -6412168.1549382955
b = -118.55689519850088, l = -44.638584683855235, h = -6397881.746197061
b = -92.14151407732317, l = -178.9576285114196, h = -6418275.246095686
b = 90.06590792208394, l = 47.61557212454907, h = -6595047.482325744
b = -173.06075149341603, l = 154.46721985365713, h = -6381008.605167222
b = -179.96795835853027, l = -157.7708283833827, h = -6380004.459614915
b = 179.7388057355287, l = 175.0219653778979, h = -6379935.8156707315
b = 173.07808179973773, l = -62.73300671712947, h = -6381039.566144691
b = -176.1633484521531, l = -122.52710269274093, h = -6380278.333247124
b = -144.6177362415147, l = 90.8471813081383, h = -6388029.361659044
b = 90.05333915590265, l = 42.34925857365903, h = -6632974.791730781
b = -172.69667259103838, l = 154.22554021682018, h = -6381037.011179506
b = -179.9390154926557, l = -157.17376172950515, h = -6379995.880374134
b = 179.74927765721054, l = -39.26401980155748, h = -6380995.73111424
b = -95.0918630509344, l = 83.31089436955303, h = -6412631.220837369
b = -121.71920614901062, l = -45.29704569100957, h = -6396629.437894105
b = 90.8576643474661, l = -175.8374127044266, h = -6448377.656042724
b = 179.80065509161116, l = 174.66753279341353, h = -6379962.850232529
b = 172.7648093204602, l = -63.008368149411695, h = -6381044.778083242
b = -175.8483992950358, l = -123.56161270997704, h = -6380291.741125879
b = -142.77535009624904, l = 91.64426505558778, h = -6388727.995168749
b = 90.04816507457154, l = 33.87785980031162, h = -6649234.740396273
b = -172.1193212249294, l = 153.86110741565932, h = -6381085.976186507
b = -179.8931385959953, l = -156.2755273822011, h = -6379983.158232077
b = 179.7259651457498, l = -39.91657254595886, h = -6380997.193014253
b = -94.85459340527949, l = 84.6341629336395, h = -6412988.772781501
b = -124.19289895809062, l = -45.77781243327123, h = -6395638.361992175
b = 91.06472930708864, l = -173.64773256746795, h = -6440190.73762004
b = 179.8537662186675, l = 174.31796361752484, h = -6379989.82796145
b = 172.43583406356416, l = -63.2937989861361, h = -6381052.439514563
b = -175.52206056672767, l = -124.60192249098334, h = -6380307.721532869
b = -140.91394417232786, l = 92.46063896352408, h = -6389451.565415456
b = 90.06028249144599, l = 25.032737211934215, h = -6596856.288311502
b = -171.50276526610207, l = 153.4949154416823, h = -6381143.55354627
b = -179.84252146000546, l = -155.373558892947, h = -6379970.644000355
b = 179.70178297480805, l = -40.569646289916214, h = -6380998.64176049
b = -94.6265755438889, l = 86.0036815879272, h = -6413355.370508573
b = -126.73740848461286, l = -46.24820741988796, h = -6394610.282079128
b = 91.3031163176343, l = -171.5783905393749, h = -6433854.931089599
b = 179.90070538293986, l = 173.97296488733014, h = -6380016.72683075
b = 172.09003959979708, l = -63.58986845231011, h = -6381062.859458534
b = -175.1856078203591, l = -125.6471688931037, h = -6380326.349619682
b = -139.04356880655308, l = 93.29709609997032, h = -6390194.122834409
b = 90.09314376744474, l = 16.250947556625977, h = -6529040.927920366
b = -170.84478921993642, l = 153.12657949356412, h = -6381210.928162467
b = -179.7849853248523, l = -154.46822140113665, h = -6379958.354774121
b = 179.67668248538155, l = -41.223209299646854, h = -6381000.087471625
b = -94.40809840538684, l = 87.42263981915791, h = -6413730.217475718
b = -129.33278602200392, l = -46.70910110889631, h = -6393556.100346154
b = 91.57652590527181, l = -169.62066409386964, h = -6428834.669934222
b = 179.94360634166574, l = 173.6325612002554, h = -6380043.532669046
b = 171.72647989135328, l = -63.897075960696675, h = -6381076.393314949
b = -174.84002799122064, l = -126.69669100534564, h = -6380347.706249437
b = -137.17273633254038, l = 94.15364023490767, h = -6390949.992156758
b = 90.15341762960496, l = 7.9533878388914925, h = -6481105.35506517
b = -170.1434524524275, l = 152.75642696578453, h = -6381289.415600544
b = -179.71808830114668, l = -153.56003558868045, h = -6379946.3252599975
b = 179.6506134822709, l = -41.877057897584464, h = -6381001.5194397755
b = 171.47400837035593, l = -64.10824368384996, h = -6381087.305763983
b = -174.6051750690896, l = -127.39837553891347, h = -6380363.467093961
b = -135.93012080101087, l = 94.73593000955306, h = -6391458.1411097795
b = 90.21385104421975, l = 2.8439162219796055, h = -6460127.699314369
b = -169.6508167555761, l = 152.50846720377763, h = -6381348.609621192
b = -179.66695965435673, l = -152.95298439854213, h = -6379938.458364267
b = 179.63265121056855, l = -42.313191768837726, h = -6381002.47789362
b = -94.06520358593056, l = 89.90498761289138, h = -6414371.504624983
b = -133.71946564901197, l = -47.456748523256735, h = -6391775.207194058
b = 92.12097134935074, l = -166.5853589267466, h = -6422494.256427901
b = -179.9892109181185, l = 173.0753703307632, h = -6380087.921574249
b = 171.07898598988018, l = -64.4350524383168, h = -6381106.8328220425
b = -174.24728410073683, l = -128.4530128183283, h = -6380389.418077007
b = -179.57181959429374, l = 95.6265995824134, h = -6380252.588208695
b = -179.975948823758, l = 172.96535129273417, h = -6380096.75641891
b = 170.94290287856964, l = -64.54671161090934, h = -6381114.24024807
b = -174.12685369892952, l = -128.8047490392173, h = -6380398.666729884
b = -179.57617963642153, l = 95.92816740710542, h = -6380246.540719192
b = -179.96266158286792, l = 172.8559586316644, h = -6380105.582230585
b = 170.80452533344172, l = -64.65966270323459, h = -6381122.125326218
b = -174.00563372424543, l = -129.15712791006658, h = -6380408.240886193
b = -179.58043055934635, l = 96.23208503982856, h = -6380240.525209738
b = -179.94928305666318, l = 172.74682106581255, h = -6380114.380467006
b = 170.6638484146404, l = -64.77424485058711, h = -6381130.50552779
b = -173.8839666021942, l = -129.5092937473566, h = -6380418.104889765
b = -179.58454764337588, l = 96.53809597010019, h = -6380234.541535118
b = -179.93579229994862, l = 172.63828989620882, h = -6380123.169797915
b = 170.52078187289817, l = -64.8901640311799, h = -6381139.399811393
b = -173.76199650156744, l = -129.86166446488872, h = -6380428.261368999
b = -179.58855668587898, l = 96.84651797868975, h = -6380228.58151342
b = -179.92215682821637, l = 172.5303175231819, h = -6380131.940382228
b = 170.37527532685152, l = -65.00744253135525, h = -6381148.827575505
b = -173.63959194876736, l = -130.21421743218912, h = -6380438.7231207965
b = -179.59245978456394, l = 97.15733606953506, h = -6380222.655949423
b = -179.9083465853422, l = 172.42289278078863, h = -6380140.692324231
b = 170.22732423833673, l = -65.12642389812724, h = -6381158.807659454
b = -173.51671092513624, l = -130.56650054129028, h = -6380449.482863356
b = -179.59625677928548, l = 97.47060038698434, h = -6380216.75581516
b = -179.8943491767164, l = 172.31572256990265, h = -6380149.427064809
b = 170.07696246861997, l = -65.2466939308283, h = -6381169.3576255515
b = -173.3936406839999, l = -130.9191101293702, h = -6380460.522561108
b = -179.59992533087666, l = 97.78598100473383, h = -6380210.900613146
b = -179.88010862078121, l = 172.20908091351856, h = -6380158.143490567
b = 169.92396877832684, l = -65.36861412695366, h = -6381180.503285253
b = -173.27055825949705, l = -131.2716545271871, h = -6380471.842276955
b = -179.6034897131761, l = 98.103837690615, h = -6380205.072539258
b = -179.86561649550146, l = 172.10299606387613, h = -6380166.851652918
b = 169.76856126908214, l = -65.4919895922554, h = -6381192.233806497
b = -173.14716250980538, l = -131.62387233494508, h = -6380483.448895813
b = -179.60692671826735, l = 98.42414805474884, h = -6380199.282552704
b = -179.85086753844658, l = 171.99738048426684, h = -6380175.53188904
b = 169.61051069346107, l = -65.61717002273039, h = -6381204.600137907
b = -173.02354924301147, l = -131.9763568350023, h = -6380495.340593296
b = -179.61026224481733, l = 98.74664969123916, h = -6380193.529922286
b = -179.83582639536334, l = 171.89226249572243, h = -6380184.19433207
b = 169.44961364986776, l = -65.74373451734725, h = -6381217.654983969
b = -172.90025600014863, l = -132.32849981513414, h = -6380507.4750984125
b = -179.61349601818114, l = 99.07139783725044, h = -6380187.805547823
b = -179.82045793406976, l = 171.78767200622767, h = -6380192.849137757
b = 169.2861501974923, l = -65.8718299692872, h = -6381231.36141962
b = -172.77671506458694, l = -132.680677382919, h = -6380519.905297509
b = -89.86241360018472, l = -147.01916949029126, h = -6233878.754556161
b = 91.78444449093365, l = -23.119334955908993, h = -6409998.1685581235
b = -165.24771228318656, l = 150.6238734665567, h = -6382021.461397928
b = -179.01935939913471, l = -148.36496879556748, h = -6379886.060604534
b = -125.73817364588744, l = -6.112956096403004, h = -6395708.920830372
b = 92.0120851278733, l = -24.209846839330034, h = -6409045.427796382
b = -164.90643111616365, l = 150.49661572207702, h = -6382084.057994326
b = -178.95324014563647, l = -148.05738210741168, h = -6379883.240876807
b = -125.10779795735006, l = -6.096128070345384, h = -6395972.955040857
b = 92.26395554125034, l = -25.242613290787062, h = -6408193.363200337
b = -164.5583487000571, l = 150.36923552387313, h = -6382149.392464518
b = -178.88343517592287, l = -147.74970334479534, h = -6379880.550920864
b = -124.4813100998334, l = -6.080713596640941, h = -6396235.203134387
b = 92.54230747788733, l = -26.21963940877126, h = -6407428.200795711
b = -164.2041847562175, l = 150.24163613986937, h = -6382217.40536486
b = -178.80972989270208, l = -147.4418302106952, h = -6379878.018135779
b = -123.86007992862443, l = -6.0663823179806995, h = -6396495.074018951
b = 92.84939008679844, l = -27.144348109549608, h = -6406738.8369723875
b = -163.84319820798112, l = 150.11401812266092, h = -6382288.315633419
b = -178.73201231471714, l = -147.1335878770244, h = -6379875.647441273
b = -123.24276757878744, l = -6.053493467067451, h = -6396753.110456927
b = 93.18786034418996, l = -28.022719246675745, h = -6406115.201693072
b = -163.47586452313996, l = 149.9860483724548, h = -6382362.09327731
b = -178.65009963222545, l = -146.8255320885782, h = -6379873.44369638
b = -122.63116622783339, l = -6.04200235644308, h = -6397008.552269321
b = 93.560185113603, l = -28.855579282803273, h = -6405548.869111882
b = -163.1021078286659, l = 149.85795893450148, h = -6382438.843796214
